epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6727,1.96124,4.07528,1.50574,0.00075,0.00106,0.00038,0.00017,1.48045,4.07157,1.25136,5.716e-05,5.716e-05,5.716e-05
2,55.5677,1.58351,3.90061,1.33018,0.0492,0.0804,0.03053,0.01908,1.21652,3.94259,1.08593,0.000127337,0.000127337,0.000127337
3,81.5577,1.4762,3.56723,1.20303,0.07774,0.14803,0.05633,0.03684,1.20664,3.74952,1.0348,0.000196099,0.000196099,0.000196099
4,108.509,1.44091,3.11448,1.1518,0.08006,0.15282,0.06056,0.03965,1.20528,3.49889,1.01425,0.000263446,0.000263446,0.000263446
5,135.284,1.3896,2.71423,1.11036,0.12012,0.23908,0.19909,0.14627,1.35732,3.36367,1.07185,0.000329379,0.000329379,0.000329379
6,160.885,1.26133,2.36045,1.09647,0.13631,0.26784,0.24413,0.1723,1.42872,3.28649,1.09286,0.000393897,0.000393897,0.000393897
7,187.325,1.31835,2.18548,1.06252,0.158,0.29606,0.29548,0.21494,1.35392,2.97958,1.05179,0.000457,0.000457,0.000457
8,214.437,1.24841,2.09349,1.01266,0.6086,0.29499,0.30899,0.22144,1.32347,2.75226,1.0345,0.000518688,0.000518688,0.000518688
9,241.147,1.20606,1.84584,1.02703,0.99847,0.23095,0.31285,0.2221,1.31993,2.5307,1.03219,0.000578962,0.000578962,0.000578962
10,267.791,1.1321,1.7995,0.97139,0.98803,0.29073,0.32305,0.23067,1.30604,2.01746,1.01468,0.000637821,0.000637821,0.000637821
11,295.012,1.214,1.6641,0.97923,0.96632,0.29766,0.32275,0.22828,1.27408,1.70551,0.98099,0.000695266,0.000695266,0.000695266
12,321.552,1.17008,1.55425,0.96776,0.96609,0.30724,0.32633,0.22972,1.24949,1.52403,0.9578,0.000751295,0.000751295,0.000751295
13,348.338,1.10857,1.59351,0.94994,0.95676,0.31079,0.33152,0.22592,1.26046,1.35241,0.91606,0.00080591,0.00080591,0.00080591
14,374.878,1.22827,1.5094,0.97651,0.95676,0.31079,0.33152,0.22592,1.26046,1.35241,0.91606,0.000859111,0.000859111,0.000859111
15,401.779,1.09749,1.37846,0.93,0.97635,0.3207,0.33927,0.2253,1.28626,1.29358,0.90045,0.000910896,0.000910896,0.000910896
16,428.695,1.15423,1.38874,0.95118,0.97787,0.31443,0.33743,0.22079,1.32567,1.30398,0.91984,0.000961267,0.000961267,0.000961267
17,454.332,1.15041,1.38566,0.97505,0.97819,0.33014,0.34297,0.22899,1.27873,1.25573,0.91469,0.00101022,0.00101022,0.00101022
18,481.204,1.12376,1.32511,0.94372,0.97819,0.33014,0.34297,0.22899,1.27873,1.25573,0.91469,0.00105776,0.00105776,0.00105776
19,506.687,1.13066,1.30456,0.97118,0.99505,0.3312,0.3526,0.23814,1.28022,1.18921,0.92208,0.00110389,0.00110389,0.00110389
20,533.581,1.16265,1.23626,0.96649,0.66247,0.36585,0.36514,0.25074,1.12068,1.21788,0.90325,0.0011486,0.0011486,0.0011486
21,560.466,1.1342,1.28809,0.94759,0.66247,0.36585,0.36514,0.25074,1.12068,1.21788,0.90325,0.00114606,0.00114606,0.00114606
22,586.982,1.12055,1.14495,0.95316,0.68685,0.41124,0.37749,0.25727,1.08192,1.05522,0.90555,0.00113191,0.00113191,0.00113191
23,614.117,1.09544,1.1691,0.92947,0.7293,0.39837,0.3828,0.26664,1.05319,0.98027,0.92336,0.00111776,0.00111776,0.00111776
24,639.767,1.02419,1.07599,0.94676,0.7293,0.39837,0.3828,0.26664,1.05319,0.98027,0.92336,0.00110362,0.00110362,0.00110362
25,668.908,1.14764,1.12606,0.95077,0.67655,0.44309,0.36017,0.26037,1.04682,0.91314,0.93159,0.00108947,0.00108947,0.00108947
26,697.822,1.10515,1.03932,0.96513,0.67655,0.44309,0.36017,0.26037,1.04682,0.91314,0.93159,0.00107532,0.00107532,0.00107532
27,731.631,1.08254,0.94956,0.94529,0.70438,0.44564,0.37379,0.26859,1.05308,0.87831,0.96055,0.00106118,0.00106118,0.00106118
28,761.158,1.05106,0.99843,0.91749,0.78012,0.44079,0.40574,0.28435,1.06147,0.86911,0.97474,0.00104703,0.00104703,0.00104703
29,791.676,1.10759,0.96595,0.92785,0.78012,0.44079,0.40574,0.28435,1.06147,0.86911,0.97474,0.00103288,0.00103288,0.00103288
