image,run,strategy,moves_taken,completed,total_time,avg_time_per_move,first_move,ensemble_agreement_count,ensemble_total_considered,agreement_rate,error
test1,1,depth,16.0,True,19.65590539999999,1.2284940874999994,,,,,
test1,1,monte_carlo,8.0,True,2.1496508999999975,0.2687063624999997,,,,,
test1,1,mcts,23.0,True,23.457853700000022,1.0199066826086967,,,,,
test1,1,expectimax,13.0,True,4.5550902000000235,0.35039155384615567,,,,,
test1,1,softmax,15.0,True,1.1595046999999994,0.07730031333333329,,,,,
test1,1,random,26.0,False,0.304811500000028,0.011723519230770307,,,,,
test1,1,ensemble,12.0,True,,,,,,,
test1,1,depth,,,,,,8.0,10.0,0.8,
test1,1,monte_carlo,,,,,,7.0,10.0,0.7,
test1,1,mcts,,,,,,5.0,10.0,0.5,
test1,1,expectimax,,,,,,5.0,10.0,0.5,
test1,1,softmax,,,,,,6.0,10.0,0.6,
test1,1,random,,,,,,0.0,10.0,0.0,
test1,2,depth,13.0,True,12.88233799999999,0.9909490769230762,,,,,
test1,2,monte_carlo,16.0,True,2.525606799999963,0.15785042499999768,,,,,
test1,2,mcts,26.0,False,24.445383600000042,0.9402070615384631,,,,,
test1,2,expectimax,18.0,True,8.207141400000069,0.4559523000000038,,,,,
test1,2,softmax,14.0,True,1.2438014999999325,0.08884296428570947,,,,,
test1,2,random,26.0,False,0.22989009999997734,0.008841926923076051,,,,,
test1,2,ensemble,19.0,True,,,,,,,
test1,2,depth,,,,,,12.0,14.0,0.8571428571428571,
test1,2,monte_carlo,,,,,,10.0,14.0,0.7142857142857143,
test1,2,mcts,,,,,,5.0,14.0,0.35714285714285715,
test1,2,expectimax,,,,,,10.0,14.0,0.7142857142857143,
test1,2,softmax,,,,,,10.0,14.0,0.7142857142857143,
test1,2,random,,,,,,0.0,14.0,0.0,
test1,3,depth,19.0,True,15.951672199999962,0.8395616947368401,,,,,
test1,3,monte_carlo,21.0,True,3.794859599999967,0.18070759999999841,,,,,
test1,3,mcts,11.0,True,11.093749599999995,1.0085226909090905,,,,,
test1,3,expectimax,10.0,True,4.822033000000005,0.48220330000000045,,,,,
test1,3,softmax,20.0,True,1.4363563000000568,0.07181781500000284,,,,,
test1,3,random,26.0,False,0.21381210000004103,0.008223542307693886,,,,,
test1,3,ensemble,19.0,True,,,,,,,
test1,3,depth,,,,,,14.0,18.0,0.7777777777777778,
test1,3,monte_carlo,,,,,,16.0,18.0,0.8888888888888888,
test1,3,mcts,,,,,,6.0,18.0,0.3333333333333333,
test1,3,expectimax,,,,,,13.0,18.0,0.7222222222222222,
test1,3,softmax,,,,,,15.0,18.0,0.8333333333333334,
test1,3,random,,,,,,0.0,18.0,0.0,
test1,4,depth,19.0,True,15.251579700000036,0.8027147210526335,,,,,
test1,4,monte_carlo,12.0,True,3.5738639999999577,0.2978219999999965,,,,,
test1,4,mcts,21.0,True,25.526686199999915,1.2155564857142818,,,,,
test1,4,expectimax,21.0,True,6.689951800000017,0.31856913333333414,,,,,
test1,4,softmax,26.0,False,1.7048441999999113,0.06557093076922736,,,,,
test1,4,random,26.0,False,0.2892758999998932,0.011125996153842048,,,,,
test1,4,ensemble,12.0,True,,,,,,,
test1,4,depth,,,,,,7.0,10.0,0.7,
test1,4,monte_carlo,,,,,,7.0,10.0,0.7,
test1,4,mcts,,,,,,3.0,10.0,0.3,
test1,4,expectimax,,,,,,5.0,10.0,0.5,
test1,4,softmax,,,,,,7.0,10.0,0.7,
test1,4,random,,,,,,0.0,10.0,0.0,
test1,5,depth,25.0,True,23.4370773,0.9374830919999999,,,,,
test1,5,monte_carlo,16.0,True,3.468885299999897,0.21680533124999357,,,,,
test1,5,mcts,15.0,True,16.541125700000066,1.1027417133333377,,,,,
test1,5,expectimax,16.0,True,7.3190287999999555,0.4574392999999972,,,,,
test1,5,softmax,17.0,True,1.816459199999997,0.10685054117647041,,,,,
test1,5,random,26.0,False,0.32894439999995484,0.012651707692305956,,,,,
test1,5,ensemble,23.0,True,,,,,,,
test1,5,depth,,,,,,9.0,20.0,0.45,
test1,5,monte_carlo,,,,,,15.0,20.0,0.75,
test1,5,mcts,,,,,,11.0,20.0,0.55,
test1,5,expectimax,,,,,,14.0,20.0,0.7,
test1,5,softmax,,,,,,14.0,20.0,0.7,
test1,5,random,,,,,,0.0,20.0,0.0,
test1,6,depth,21.0,True,27.24447900000007,1.297356142857146,,,,,
test1,6,monte_carlo,15.0,True,2.6126917999998795,0.1741794533333253,,,,,
test1,6,mcts,25.0,True,26.140937200000167,1.0456374880000068,,,,,
test1,6,expectimax,17.0,True,8.884391600000072,0.5226112705882395,,,,,
test1,6,softmax,15.0,True,1.6441002000002527,0.10960668000001685,,,,,
test1,6,random,26.0,False,0.3030628999997589,0.011656265384606112,,,,,
test1,6,ensemble,23.0,True,,,,,,,
test1,6,depth,,,,,,13.0,19.0,0.6842105263157895,
test1,6,monte_carlo,,,,,,14.0,19.0,0.7368421052631579,
test1,6,mcts,,,,,,8.0,19.0,0.42105263157894735,
test1,6,expectimax,,,,,,12.0,19.0,0.631578947368421,
test1,6,softmax,,,,,,14.0,19.0,0.7368421052631579,
test1,6,random,,,,,,0.0,19.0,0.0,
test1,7,depth,11.0,True,14.425311100000044,1.3113919181818223,,,,,
test1,7,monte_carlo,17.0,True,4.814758399999846,0.28322108235293214,,,,,
test1,7,mcts,16.0,True,14.674268600000005,0.9171417875000003,,,,,
test1,7,expectimax,10.0,True,3.4236290999998573,0.34236290999998575,,,,,
test1,7,softmax,11.0,True,1.087236100000041,0.09883964545454918,,,,,
test1,7,random,26.0,False,0.25483230000020285,0.00980124230770011,,,,,
test1,7,ensemble,15.0,True,,,,,,,
test1,7,depth,,,,,,7.0,12.0,0.5833333333333334,
test1,7,monte_carlo,,,,,,12.0,12.0,1.0,
test1,7,mcts,,,,,,5.0,12.0,0.4166666666666667,
test1,7,expectimax,,,,,,5.0,12.0,0.4166666666666667,
test1,7,softmax,,,,,,11.0,12.0,0.9166666666666666,
test1,7,random,,,,,,0.0,12.0,0.0,
test1,8,depth,10.0,True,16.352921499999866,1.6352921499999866,,,,,
test1,8,monte_carlo,22.0,True,3.996436799999856,0.18165621818181163,,,,,
test1,8,mcts,18.0,True,18.171452699999918,1.0095251499999955,,,,,
test1,8,expectimax,26.0,True,10.119451600000048,0.38920967692307873,,,,,
test1,8,softmax,12.0,True,1.1330001999996284,0.09441668333330237,,,,,
test1,8,random,26.0,False,0.2770195000003923,0.010654596153861244,,,,,
test1,8,ensemble,10.0,True,,,,,,,
test1,8,depth,,,,,,4.0,9.0,0.4444444444444444,
test1,8,monte_carlo,,,,,,6.0,9.0,0.6666666666666666,
test1,8,mcts,,,,,,3.0,9.0,0.3333333333333333,
test1,8,expectimax,,,,,,5.0,9.0,0.5555555555555556,
test1,8,softmax,,,,,,7.0,9.0,0.7777777777777778,
test1,8,random,,,,,,0.0,9.0,0.0,
test1,9,depth,12.0,True,12.640491799999836,1.053374316666653,,,,,
test1,9,monte_carlo,14.0,True,3.7062244999997347,0.26473032142855246,,,,,
test1,9,mcts,26.0,False,26.7435703000001,1.0285988576923115,,,,,
test1,9,expectimax,17.0,True,6.605111600000441,0.3885359764706142,,,,,
test1,9,softmax,18.0,True,1.4366546999999628,0.07981414999999793,,,,,
test1,9,random,26.0,False,0.2064071000002059,0.007938734615392535,,,,,
test1,9,ensemble,12.0,True,,,,,,,
test1,9,depth,,,,,,8.0,12.0,0.6666666666666666,
test1,9,monte_carlo,,,,,,9.0,12.0,0.75,
test1,9,mcts,,,,,,5.0,12.0,0.4166666666666667,
test1,9,expectimax,,,,,,9.0,12.0,0.75,
test1,9,softmax,,,,,,9.0,12.0,0.75,
test1,9,random,,,,,,0.0,12.0,0.0,
test1,10,depth,12.0,True,14.95677820000003,1.246398183333336,,,,,
test1,10,monte_carlo,12.0,True,1.9647665999999617,0.1637305499999968,,,,,
test1,10,mcts,26.0,False,27.798647600000095,1.0691787538461575,,,,,
test1,10,expectimax,15.0,True,7.451016699999968,0.49673444666666455,,,,,
test1,10,softmax,15.0,True,1.5350139000001946,0.10233426000001297,,,,,
