image,run,strategy,moves_taken,completed,first_move,ensemble_agreement_count,ensemble_total_considered,agreement_rate,error
test1,1,depth2,11.0,True,,,,,
test1,1,monte_carlo,24.0,True,,,,,
test1,1,depth3,14.0,True,,,,,
test1,1,ensemble,16.0,True,,,,,
test1,1,depth2,,,,0.0,12.0,0.0,
test1,1,monte_carlo,,,,10.0,12.0,0.8333333333333334,
test1,1,depth3,,,,0.0,12.0,0.0,
test1,2,depth2,14.0,True,,,,,
test1,2,monte_carlo,18.0,True,,,,,
test1,2,depth3,10.0,True,,,,,
test1,2,ensemble,19.0,True,,,,,
test1,2,depth2,,,,0.0,15.0,0.0,
test1,2,monte_carlo,,,,13.0,15.0,0.8666666666666667,
test1,2,depth3,,,,0.0,15.0,0.0,
test1,3,depth2,11.0,True,,,,,
test1,3,monte_carlo,13.0,True,,,,,
test1,3,depth3,15.0,True,,,,,
test1,3,ensemble,11.0,True,,,,,
test1,3,depth2,,,,0.0,11.0,0.0,
test1,3,monte_carlo,,,,7.0,11.0,0.6363636363636364,
test1,3,depth3,,,,0.0,11.0,0.0,
test1,4,depth2,20.0,True,,,,,
test1,4,monte_carlo,15.0,True,,,,,
test1,4,depth3,21.0,True,,,,,
test1,4,ensemble,12.0,True,,,,,
test1,4,depth2,,,,0.0,12.0,0.0,
test1,4,monte_carlo,,,,9.0,12.0,0.75,
test1,4,depth3,,,,0.0,12.0,0.0,
test1,5,depth2,13.0,True,,,,,
test1,5,monte_carlo,15.0,True,,,,,
test1,5,depth3,14.0,True,,,,,
test1,5,ensemble,15.0,True,,,,,
test1,5,depth2,,,,0.0,14.0,0.0,
test1,5,monte_carlo,,,,12.0,14.0,0.8571428571428571,
test1,5,depth3,,,,0.0,14.0,0.0,
test2,1,depth2,26.0,True,,,,,
test2,1,monte_carlo,14.0,True,,,,,
test2,1,depth3,14.0,True,,,,,
test2,1,ensemble,11.0,True,,,,,
test2,1,depth2,,,,0.0,10.0,0.0,
test2,1,monte_carlo,,,,9.0,10.0,0.9,
test2,1,depth3,,,,0.0,10.0,0.0,
test2,2,depth2,12.0,True,,,,,
test2,2,monte_carlo,28.0,False,,,,,
test2,2,depth3,6.0,True,,,,,
test2,2,ensemble,10.0,True,,,,,
test2,2,depth2,,,,0.0,9.0,0.0,
test2,2,monte_carlo,,,,5.0,9.0,0.5555555555555556,
test2,2,depth3,,,,0.0,9.0,0.0,
test2,3,depth2,6.0,True,,,,,
test2,3,monte_carlo,17.0,True,,,,,
test2,3,depth3,9.0,True,,,,,
test2,3,ensemble,10.0,True,,,,,
test2,3,depth2,,,,0.0,8.0,0.0,
